Surec1_Onay_Tarihi,K2,K2_TARIH,K4,Surec2_Tarihi,Kalite_Kontrol_Tarihi,MAKINE,Kalite,Surec1_Bitis_Tarihi,Surec1_Baslama_Tarihi,PART_NO,fazK_dk,FazS_dk,FazD_dk,FazB_dk,FazS_Basinci_Mean,FazS_Basinci_Stdev,FazB_Basinci_Max,FazK_Basinci_Last,FazD_Basinci_Last,K17_K16_Mesafe,K16,K18,K17,K19,K20,K21,K22,K23,K24,K23_K24_Mesafe,K25,K26,K26_K25_Mesafe,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,Surec4_Baslangic,Surec4_Bitis,Surec4_K1,Surec4_K2,Surec4_K3
2021-05-01 03:27:00+03:00,,,,2021-05-02 18:12:00+03:00,2021-05-05 17:20:00+03:00,X,2,2021-05-01 03:19:58.110000+03:00,2021-05-01 02:52:18.761000+03:00,35,8.116515,14.29778167,0.7337183333,2.512546667,13.734,1.445374611,7.2576,5.6,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,,,,,74.2,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,,,,,2021-05-03 21:46:00+03:00,2021-05-04 13:46:00+03:00,23.8,1709.4,1712.2
2021-05-01 03:27:00+03:00,,,,2021-05-02 18:14:00+03:00,2021-05-05 17:21:00+03:00,X,2,2021-05-01 03:19:58.110000+03:00,2021-05-01 02:52:18.761000+03:00,35,8.116515,14.29778167,0.7337183333,2.512546667,13.734,1.445374611,7.2576,5.6,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,,,,,74.2,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,,,,,2021-05-03 21:47:30+03:00,2021-05-04 13:47:30+03:00,23.8,1709.4,1712.2
2021-05-01 03:58:00+03:00,,,,2021-05-02 18:10:00+03:00,2021-05-04 15:48:00+03:00,X,11,2021-05-01 03:19:58.110000+03:00,2021-05-01 02:52:18.761000+03:00,35,8.116515,14.29778167,0.7337183333,2.512546667,13.734,1.445374611,7.2576,5.6,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,,,,,74.2,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,,,,,2021-05-03 08:59:00+03:00,2021-05-04 00:59:00+03:00,23.8,1709.4,1712.2
2021-05-01 03:58:00+03:00,,,,2021-05-02 18:11:00+03:00,2021-05-04 15:45:00+03:00,X,10,2021-05-01 03:19:58.110000+03:00,2021-05-01 02:52:18.761000+03:00,35,8.116515,14.29778167,0.7337183333,2.512546667,13.734,1.445374611,7.2576,5.6,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,,,,,74.2,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,,,,,2021-05-03 08:58:00+03:00,2021-05-04 00:58:00+03:00,23.8,1709.4,1712.2
2021-05-01 03:59:00+03:00,,,,2021-05-03 16:53:00+03:00,2021-05-04 15:02:00+03:00,Y,2,2021-05-01 03:19:58.110000+03:00,2021-05-01 02:52:18.761000+03:00,35,8.116515,14.29778167,0.7337183333,2.512546667,13.734,1.445374611,7.2576,5.6,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,72.8,320.6,259,249.2,0.266,0.308,3.402,12.124,15.526,63,2210.6,413,89.6,35,2021-05-03 19:57:30+03:00,2021-05-04 11:57:30+03:00,23.8,1710.8,1709.4
2021-05-01 05:05:00+03:00,,,,2021-05-03 21:44:00+03:00,2021-05-04 19:46:00+03:00,Y,10,2021-05-01 04:42:55.822000+03:00,2021-05-01 04:14:57.588000+03:00,37,8.47341,14.28834,0.7336816667,2.512968333,13.328,1.911861418,7.049,5.81,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,72.8,320.6,259,249.2,0.266,0.308,3.402,12.124,15.526,63,2210.6,413,89.6,35,2021-05-04 00:45:00+03:00,2021-05-04 16:45:00+03:00,23.8,1712.2,1709.4
2021-05-01 05:05:00+03:00,,,,2021-05-03 17:01:00+03:00,2021-05-05 01:18:00+03:00,X,2,2021-05-01 04:42:55.822000+03:00,2021-05-01 04:14:57.588000+03:00,37,8.47341,14.28834,0.7336816667,2.512968333,13.328,1.911861418,7.049,5.81,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,77,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,2210.6,413,89.6,35,2021-05-04 01:09:30+03:00,2021-05-04 17:09:30+03:00,23.8,1712.2,1708
2021-05-01 05:38:00+03:00,,,,2021-05-03 22:01:00+03:00,2021-05-11 22:31:00+03:00,Y,2,2021-05-01 05:16:56.865000+03:00,2021-05-01 04:48:46.003000+03:00,38,8.685856667,14.30689333,0.733755,2.512876667,13.594,1.610391006,6.846,5.81,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,72.8,320.6,259,249.2,0.266,0.308,3.402,12.124,15.526,63,2210.6,413,89.6,35,2021-05-07 14:16:00+03:00,2021-05-08 06:16:00+03:00,23.8,1712.2,1712.2
2021-05-01 05:38:00+03:00,,,,2021-05-03 13:15:00+03:00,2021-05-06 01:51:00+03:00,Y,2,2021-05-01 05:16:56.865000+03:00,2021-05-01 04:48:46.003000+03:00,38,8.685856667,14.30689333,0.733755,2.512876667,13.594,1.610391006,6.846,5.81,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,72.8,320.6,259,249.2,0.266,0.308,3.402,12.124,15.526,63,2210.6,413,89.6,35,2021-05-04 11:33:00+03:00,2021-05-05 03:33:00+03:00,23.8,1712.2,1709.4
2021-05-01 06:14:00+03:00,,,,2021-05-03 22:10:00+03:00,2021-05-11 22:59:00+03:00,X,10,2021-05-01 05:49:50.379000+03:00,2021-05-01 05:22:15.549000+03:00,39,8.21722,14.28854167,0.733645,2.512803333,13.125,2.027741375,7.2576,5.81,0,,,,,,2531.2,40.6,945,427,267.4,159.6,99.4,197.4,69.51,12.18,32.494,2413.6,119,78.4,33.6,77,322,266,249.2,0.238,0.322,3.346,12.152,15.498,60.2,2210.6,413,89.6,35,2021-05-07 14:34:30+03:00,2021-05-08 06:34:30+03:00,23.8,1706.6,1709.4
